id,saleprice
2658,146383.69563349278
2718,155400.48882560426
2414,177354.8270915882
1989,111804.34844424519
625,184440.51431653503
333,95332.94106325471
1327,110012.26061055141
858,148308.74884380994
95,203567.6111647762
1568,150322.70481137163
2482,149197.81145011834
1364,131744.10664998885
2584,168813.0336487789
818,298478.7959075819
2673,148107.98286583764
2089,110590.13311916482
1297,189896.11914053143
790,119978.52728115236
2616,186350.70589520075
720,195150.30241691592
222,144146.6700242011
557,132342.219840121
1148,185093.69464350687
2766,177403.39524944464
534,188296.21454021288
1452,124508.90734811072
630,140331.66068187324
2648,132328.77235620967
125,163595.05850083206
1904,72289.87617817598
1670,113850.98963822279
756,108414.3925490456
717,271468.4929076998
1032,153501.79260687475
852,218404.20315027388
1731,167983.08086776265
2639,108280.27198556285
2071,92881.61296039679
1267,108613.3819551744
1851,194755.36834661372
567,144347.64009667045
2439,220867.19165238124
1898,163794.72771180343
647,145160.0722157728
2256,192261.74489091546
979,90067.05278684858
1444,213407.0653394046
2485,128584.36702404081
157,127941.88267948598
88,131989.54776646037
2003,116917.61284278223
186,202795.87895977948
1425,258268.60881856713
2695,137280.4786405672
738,104116.67092630774
395,153111.41886735903
1353,170986.6935843668
1878,132187.84039377133
390,146597.8765426362
1456,230113.75179716691
1103,327224.86636131105
1387,141933.30284759693
2070,123470.29578089088
1199,171917.7164909097
2479,170612.88810506806
501,312070.69322203315
2362,115490.95361742488
1718,185541.96664943773
2188,83460.7247090029
1483,120523.58311569337
2557,96466.32866907743
437,345863.9401391815
2224,201857.18042290493
1628,154712.18196523708
397,135805.4433746526
587,196912.04420925092
2182,587978.974826335
971,152773.32983298332
2611,148006.88000307535
1887,108160.3253459316
2399,371900.62566853006
2148,209075.1710010185
304,105482.373213236
1997,126313.77515652316
2817,124671.98237094567
1431,207890.6399238902
427,410378.9113393506
263,126635.50310324995
598,199696.14147053656
2895,225917.19122258291
687,141260.2901122766
1822,135540.08418291996
2191,81316.22508969098
179,129894.84635682788
1009,206962.7889478835
2010,123999.80350662197
1991,133315.12092670597
1411,151140.47975583893
1721,243826.32407357308
1144,189757.8239255693
593,188706.02934392533
575,304986.3134123054
1249,188406.64731873584
1604,129158.5708348407
1064,449117.70852750744
1923,155203.9310950654
1988,89447.26775960563
2325,159514.94308331344
114,204726.9522061829
2700,168987.0028647507
217,101782.9089327297
343,174174.97138383723
386,239900.4206463962
2005,125151.19952379064
2908,143143.2831261065
1814,206249.69056124473
2446,479908.74852534046
208,141551.26527481683
1679,106506.65527934932
822,347439.1703414609
6,187634.66860799227
1781,419302.0566339222
2397,290401.01922418835
2340,306787.09406628285
1618,188396.41847836605
2843,139443.91453870226
1061,387186.86567235517
2786,124338.41320582693
1935,134631.40096744255
1341,118493.27615264159
521,272388.93086600787
2136,156967.07504547318
996,200942.12827871396
227,146176.01246938144
135,161273.27279323727
1167,176481.86647395525
294,240454.21827372402
1776,194309.46088658198
540,176426.38693720588
1717,192777.08111447134
2303,126274.14170333184
116,183658.78244997808
127,140234.46328714566
1371,133212.95956228126
1014,185158.30200414636
1507,92616.44956879191
702,116190.39795292521
750,159755.5359178021
261,149194.64972469793
1559,88009.33648053993
577,242800.59027624535
2812,199288.83271381323
2080,163022.19323664764
1368,110926.2404963439
2376,130998.97640491714
659,96758.45129849488
1235,140072.5386651299
332,93271.0840319764
1917,132779.07566122868
2094,243224.49958345684
1460,286195.8524281401
1471,199568.04199512556
1509,121469.91943081947
1922,133522.9991354658
433,499731.08679769665
460,267207.40986707737
1116,256305.07622230178
1137,174817.2648081012
53,155048.49281465253
2354,273203.30919063743
1475,209986.6025465646
1761,547267.2595601075
842,136982.73424089176
2739,154252.87165699815
2509,131124.29409796782
1007,203967.88414024044
2610,179511.73789369472
1952,90267.47995164082
2719,146601.28188074596
2921,94857.18590309902
1966,136893.66765888064
292,126637.34050671132
1204,191140.92419390057
1829,258198.51531503163
2419,177800.75289304834
391,159909.4462796679
798,113239.73868015158
481,178319.99708456954
193,186587.02855240746
555,132580.65332533084
899,85102.95393563547
2357,176030.32055528168
328,105080.48498954777
1356,102851.18918334124
1154,112123.94061927374
1730,180531.46163495086
2249,157463.31969027355
1119,244911.6825218632
2856,139694.1980212636
1394,133980.90509140232
2587,124885.22341426487
61,346800.9555771035
2661,191627.43723440444
2711,144669.73946207113
1147,187038.08320046557
757,139581.05653338315
2623,120054.31944503837
2378,153439.2562338891
1413,139632.07783802273
1722,209140.17792649346
1112,209954.42125215297
1623,187351.49958258864
1201,200628.7443027413
1513,122086.59108917674
957,227844.06181655964
1171,258052.58530679822
1145,192832.95063230203
2726,240321.47830331634
703,129848.00433335378
760,95375.45972781416
1964,137102.24298519184
2512,169686.72420710634
159,166079.977994687
1281,166444.65450161241
468,181206.52773104547
290,121763.23931236989
665,95519.936152605
1463,282513.4860668196
1792,212010.5476947133
923,166155.29678121506
500,290328.5400948854
1408,108455.91851809421
331,90713.2873720234
170,89369.13905696075
2192,103800.44028400657
2571,337784.08017198194
2314,162315.87988594355
2647,98543.9761717672
422,462750.4251888526
2457,368089.82348770136
1838,215864.78570716453
2805,255211.88899290704
1645,164793.85662201737
1711,307829.3332770811
2825,263590.05061875563
322,387903.8395453018
2103,267056.1999150913
342,117085.3804535249
600,118109.41260864388
488,193387.91086838103
1725,341851.7817742668
2246,260139.47550374083
2847,143656.71680569238
806,237023.45857106886
530,247299.18054359625
963,198194.08157659782
2678,93456.78623554771
171,85615.81006288908
2401,441370.6443304216
805,213879.25831590977
2259,222149.64091660123
1748,150051.9426533778
1361,130023.42843650447
1677,119413.85376886706
1406,153288.38468801344
2322,235112.14284061315
688,166592.77233541457
143,141302.7776540309
804,186489.63528062185
1214,177130.63897355492
2828,146896.02328953074
1999,176873.19606593062
2467,203489.14578142908
2665,158025.59182914832
1538,371081.69322722725
398,112304.4289230691
2822,130438.32496292464
2157,115386.98597413451
1856,192107.91836704314
1269,117106.57514297504
2570,132623.81058149203
2320,229208.15620376635
1517,129587.86399574563
2304,139408.69952558278
1312,94340.57527474113
2012,129645.25838139525
506,248031.34810039317
2865,223551.1047149909
2367,99839.70170091627
554,98287.68525150958
238,127409.5501914821
1954,108725.55760972902
2488,113188.49272780197
2291,77712.55850185598
1969,107853.79874973322
2725,141987.5944696988
1482,120523.58311569337
2763,185777.21013424415
503,254957.70379728792
1584,235226.53455715434
1531,192970.8361039359
2210,172999.60718687874
459,352322.4007770969
556,133759.51824668833
1347,150636.28810388583
1290,79693.02713350592
1388,125628.05700764661
1571,178561.57766048322
2754,204818.42481685214
765,154002.3636269013
2494,134504.26252389658
2870,220098.23996263038
7,228870.18558555408
1114,257761.68108641377
2418,287818.9903325837
291,141732.91597907466
18,397282.98912379984
39,396600.471467665
1001,266118.7707644947
2442,245438.9528702253
616,136384.59662808818
2680,82882.79645083797
1414,123060.92187211193
289,160752.10031190046
40,256452.6830038446
860,122984.08303040508
409,117158.11364983284
673,135317.44721205378
2427,159957.42511915625
2036,189028.98661357147
2564,142781.63678667392
642,147088.11756297565
1008,176603.0880161812
1908,139121.6917774029
2519,185621.89998034976
1369,82984.19971817681
2855,182226.86915882851
712,85419.43504454904
1943,134513.44619255333
1958,141261.13453121044
107,115575.64522358296
2295,175069.30906812218
704,95350.93226686648
676,137551.75101659424
259,180603.20315585798
93,298746.42108869896
106,245003.72713585783
2315,196561.25005482847
1050,120700.94970675104
1095,176153.85263992817
2709,141238.5186322944
758,128259.38456206786
1496,139212.39455556255
2370,121604.04373027544
2458,275561.797446785
2733,133346.11339851827
161,257978.68423753444
726,156074.21425839284
845,210793.9304110235
947,249352.72870775365
2232,112290.51861237168
2563,144134.72290811627
2299,94789.1694551795
211,125880.01765411458
605,142080.96131408477
1478,186188.40551510252
2247,254909.8512045022
2274,170884.8238477704
2869,212828.0969497626
967,222567.4940010355
2656,103918.98973368175
667,196272.17486658623
1042,102197.01559295025
2023,170066.6068104093
2447,404187.2845495552
2055,132494.80509214607
2275,310853.1027280489
2204,189970.62557282767
1563,272434.0165516345
483,189812.16741062375
796,114003.80801626967
1526,180751.46693577289
2042,155174.06222970012
442,373649.3375270802
1693,330499.6306216434
1468,214149.7691391524
1430,232411.72554908044
2605,158277.60555237613
1529,179684.1438560034
335,145543.1981167564
1287,122072.28998813433
31,108421.45556780088
1785,318062.30930989323
82,148696.07181408783
2620,141058.1719601344
252,184789.50058238508
721,89732.05380034009
2165,197607.2072843311
2316,181871.855804233
775,144654.60577741094
1558,92156.20997678053
17,187902.278387838
1022,225118.29910481148
925,156905.2099257298
438,295739.8554288577
1270,123999.15659035878
1272,128155.45981991342
215,134520.23170961512
266,222998.94455743965
2402,279147.3168474461
1250,119817.94305988132
1984,94569.46238704276
1279,145980.3898563901
377,238066.6339193591
1252,123184.45461211425
2156,250489.26965394197
499,316168.9191128913
1374,130239.1980657462
2898,243778.13273968673
401,113728.16418119027
2721,140977.51940999762
2078,310989.4924068292
2589,129857.78879694318
1946,292392.4338171598
1334,122647.97310045632
2781,224825.10634851005
431,426525.9313270446
576,183704.80287947078
1474,194801.39877452687
2254,138652.04421622996
2155,270024.8886146918
885,111681.5782491544
643,136435.1913345305
1944,131061.54616638963
480,193069.3157062552
2845,95821.49202160168
2387,335194.8501326634
2407,207995.2559782916
2527,152086.95177737717
2514,117592.41713338203
629,137427.66211044134
80,195845.92450013207
1876,142204.9471391009
1546,110036.07261715597
2518,187423.25324172064
2347,169996.41698017647
783,192982.8012998447
1322,36667.64368119657
194,87354.90119935728
1770,299626.7300854807
2143,140248.2101118703
1229,204271.88267852913
511,271872.8156143549
46,215704.9231795464
1348,153742.70701711546
2465,200342.21818054782
